index,year,strategy_return,benchmark_return,strategy_sharpe,benchmark_sharpe,strategy_max_drawdown,benchmark_max_drawdown
0,2017,0.0,0.025488491408101277,,0.40025553333989805,0.0,-0.052154085279456974
1,2018,0.04668193503759244,-0.10223816443872713,0.6295444092425736,-0.8137858370909506,-0.047476594616840506,-0.14290107285040665
2,2019,-0.022874170951166728,0.07198343874674529,-1.2336785044414238,0.9324712479543816,-0.03631077388595172,-0.04443291323714904
3,2020,-0.052897004638374545,0.06104314163784874,-0.3642804561120602,0.34393244478370877,-0.1247188093739019,-0.2110480449990627
4,2021,-0.037995616967786305,-0.10893241892910543,-0.7588935844098382,-0.8679929020514079,-0.06365403229383126,-0.17326831413863664
5,2022,0.08964226543347853,-0.03489759720453833,0.9878591718705748,-0.27920351119796577,-0.06968954408871386,-0.10575463149192699
6,2023,0.008408685408934025,0.11160999769905056,0.30398911470511636,1.0737947642975008,-0.011964909761330023,-0.05322959786227388
7,2024,0.0479703731446961,0.03415418999273001,1.1173962332936187,0.17650390992055273,-0.016069876703228902,-0.18461455075043065
8,2025,0.22376527615909958,-0.05545437168811862,1.9660145642218054,-0.3483139148051618,-0.03520147314480049,-0.20014249216711777
9,2026,0.13780635313766254,0.18831438699364966,3.686445821475379,2.709769761494417,-0.013229949038912059,-0.06743081327950284
